Garbage Type,Location,Coordinates,Timestamp
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:33:06
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:33:07
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:33:08
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:33:09
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:33:11
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:33:12
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:33:13
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:34:29
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:34:30
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:34:31
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:34:33
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:36:38
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:36:40
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:36:41
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:36:43
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:36:46
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:36:47
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:36:50
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:36:51
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:36:53
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:36:54
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:41:00
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:41:01
Garbage Detected: garbage, Location: Nagpur, Coordinates: [21.1463, 79.0849], Timestamp: 2025-03-15 22:41:03
